Date,Open,High,Low,Close,Adj Close,Volume
2017-03-16,5.410000,5.570000,5.300000,5.390000,4.928866,71395800
2017-03-23,5.350000,5.500000,5.330000,5.360000,4.901433,51279400
2017-03-30,5.330000,5.430000,5.180000,5.180000,4.736833,49174000
2017-04-06,5.230000,5.350000,5.210000,5.280000,4.828277,41069700
2017-04-13,5.260000,5.290000,5.170000,5.170000,4.727688,28755000
2017-04-20,5.290000,5.460000,5.170000,5.370000,4.910577,108865500
2017-04-27,5.700000,6.000000,5.590000,5.880000,5.376945,144832100
2017-05-04,5.970000,6.190000,5.970000,6.140000,5.614701,109242000
2017-05-11,6.140000,6.310000,6.050000,6.110000,5.587268,66786200
2017-05-18,6.090000,6.650000,6.060000,6.390000,5.843313,130838500
2017-05-25,6.370000,6.430000,6.280000,6.320000,5.944736,65177300
2017-06-01,6.440000,6.600000,6.420000,6.540000,6.151673,81427700
2017-06-08,6.530000,6.540000,6.270000,6.380000,6.001174,84335100
2017-06-15,6.280000,6.470000,6.270000,6.390000,6.010580,64313300
2017-06-22,6.390000,6.460000,6.260000,6.360000,5.982361,63769100
2017-06-29,6.280000,6.290000,6.090000,6.220000,5.850674,56030400
2017-07-06,6.120000,6.380000,6.110000,6.340000,5.963549,59844700
2017-07-13,6.300000,6.340000,6.120000,6.220000,5.850674,45956500
2017-07-20,6.250000,6.280000,6.130000,6.170000,5.803642,51473900
2017-07-27,6.440000,6.590000,6.280000,6.520000,6.132861,95332600
2017-08-03,6.550000,6.590000,6.330000,6.360000,5.982361,39659400
2017-08-10,6.340000,6.380000,6.200000,6.360000,5.982361,38120200
2017-08-17,6.320000,6.340000,6.130000,6.250000,5.878892,42136500
2017-08-24,6.190000,6.250000,6.120000,6.180000,5.813048,45465700
2017-08-31,6.170000,6.290000,6.070000,6.160000,5.794236,39464400
2017-09-07,6.250000,6.260000,5.980000,6.020000,5.662549,63752400
2017-09-14,5.990000,6.260000,5.970000,6.180000,5.813048,68183600
2017-09-21,6.100000,6.120000,5.830000,5.880000,5.530862,65862100
2017-09-28,5.910000,6.010000,5.870000,5.920000,5.568487,42688800
2017-10-05,5.910000,5.970000,5.850000,5.880000,5.530862,40159900
2017-10-12,5.820000,5.940000,5.790000,5.860000,5.512050,37586100
2017-10-19,5.800000,6.110000,5.790000,6.050000,5.690768,53122700
2017-10-26,4.920000,5.000000,4.750000,4.940000,4.646677,170398600
2017-11-02,4.990000,5.140000,4.910000,5.050000,4.750145,88557500
2017-11-09,4.930000,4.970000,4.790000,4.840000,4.552615,72770100
2017-11-16,4.900000,5.070000,4.880000,5.050000,4.750145,63267600
2017-11-23,5.100000,5.110000,4.960000,5.020000,4.721926,47287500
2017-11-30,4.980000,5.050000,4.680000,4.720000,4.439739,72415400
